drawtime	alpharemove	copytime
6.073000	6.005000	1.018000
5.526000	6.028000	0.800000
5.448000	3.996000	0.749000
5.769000	6.153000	0.906000
5.613000	6.599000	0.779000
5.541000	6.307000	0.818000
5.809000	6.032000	0.924000
5.896000	6.275000	0.926000
5.741000	6.053000	0.787000
5.927000	6.033000	0.734000
5.771000	6.044000	0.777000
5.616000	6.038000	0.974000
5.609000	6.036000	0.901000
5.655000	6.018000	0.924000
5.595000	6.052000	0.773000
5.597000	6.036000	0.786000
5.612000	6.033000	0.784000
5.645000	6.024000	0.763000
6.006000	6.011000	0.822000
6.220000	6.032000	0.858000
6.649000	6.010000	1.112000
6.253000	6.019000	0.817000
6.525000	6.052000	0.891000
6.256000	6.022000	1.026000
6.120000	6.071000	0.778000
6.397000	6.149000	0.776000
7.115000	6.152000	0.944000
7.105000	6.091000	0.723000
6.645000	6.039000	0.848000
6.413000	6.030000	0.842000
9.670000	6.028000	0.995000
6.418000	6.047000	0.810000
7.615000	6.013000	0.790000
6.534000	6.008000	1.448000
6.530000	6.052000	0.921000
6.431000	6.039000	0.833000
6.360000	6.059000	0.830000
5.956000	6.045000	0.953000
6.171000	6.006000	0.850000
6.305000	6.080000	0.826000
6.214000	6.057000	0.871000
6.062000	6.034000	0.892000
6.109000	6.052000	0.839000
6.187000	6.053000	0.905000
6.245000	6.022000	0.821000
6.226000	6.069000	0.871000
6.168000	6.021000	0.935000
6.279000	6.044000	0.827000
6.197000	6.024000	0.836000
6.157000	6.037000	0.956000
6.196000	6.043000	0.833000
7.395000	6.034000	0.720000
6.838000	6.031000	0.829000
6.123000	6.026000	0.823000
6.495000	6.025000	0.974000
6.143000	6.036000	0.826000
6.138000	6.072000	0.937000
7.051000	6.042000	0.959000
6.108000	6.078000	0.853000
6.016000	2.970000	0.637000
6.658000	2.889000	0.674000
6.685000	2.987000	0.595000
6.148000	2.967000	0.707000
6.195000	6.054000	0.827000
6.066000	6.018000	0.873000
6.191000	6.073000	0.936000
6.188000	6.019000	0.828000
6.723000	6.006000	0.823000
6.638000	6.015000	0.989000
6.910000	6.081000	0.834000
7.148000	5.996000	1.287000
6.069000	2.650000	1.455000
6.274000	2.786000	0.668000
6.526000	6.017000	0.937000
6.920000	5.955000	1.125000
7.077000	5.968000	0.990000
6.346000	5.963000	0.868000
6.768000	5.994000	1.405000
6.109000	5.964000	0.803000
6.152000	6.162000	0.824000
6.556000	5.948000	1.009000
6.187000	6.021000	0.963000
6.409000	5.960000	0.904000
7.173000	6.003000	0.957000
6.806000	4.891000	1.119000
5.967000	2.822000	0.653000
6.107000	2.916000	0.627000
6.916000	5.153000	0.786000
6.114000	5.919000	1.314000
6.094000	5.990000	1.069000
6.723000	6.008000	0.757000
6.205000	6.041000	0.811000
6.201000	6.003000	0.831000
7.186000	5.977000	0.965000
6.962000	6.028000	1.486000
6.927000	4.930000	0.882000
6.106000	2.949000	0.561000
6.344000	2.943000	0.438000
7.189000	6.036000	0.867000
6.910000	6.085000	0.817000
6.790000	5.962000	0.881000
6.127000	6.049000	0.953000
6.209000	6.013000	0.803000
6.537000	6.019000	1.017000
7.011000	4.922000	0.841000
7.174000	6.016000	0.943000
7.096000	6.011000	1.005000
7.020000	6.036000	0.873000
6.263000	6.206000	0.943000
6.162000	6.356000	1.030000
6.456000	3.001000	0.545000
7.149000	3.188000	0.549000
7.720000	5.582000	1.279000
6.708000	4.250000	0.561000
6.139000	3.217000	0.565000
7.744000	6.125000	1.168000
7.263000	6.033000	1.528000
7.438000	6.020000	1.510000
7.022000	6.219000	0.892000
6.140000	5.979000	0.624000
6.078000	6.047000	0.963000
6.107000	6.599000	0.852000
6.276000	6.088000	0.882000
7.004000	4.906000	0.881000
6.798000	5.194000	0.894000
6.111000	6.002000	0.859000
6.519000	6.351000	1.031000
6.221000	6.054000	0.804000
6.508000	6.029000	0.966000
6.288000	6.017000	0.832000
6.988000	3.966000	0.717000
7.060000	4.011000	0.914000
6.521000	2.956000	0.609000
6.467000	6.024000	1.051000
6.523000	6.065000	0.960000
7.011000	6.091000	0.701000
7.010000	3.115000	0.521000
6.144000	2.968000	0.585000
6.659000	2.666000	0.613000
7.890000	2.950000	0.808000
7.491000	3.325000	0.528000
6.631000	4.760000	0.754000
7.016000	5.306000	0.670000
6.720000	3.071000	0.515000
7.417000	5.987000	1.119000
7.392000	4.229000	1.102000
6.377000	3.262000	0.889000
6.624000	2.757000	0.627000
7.319000	2.981000	0.768000
6.248000	2.944000	1.356000
6.786000	3.482000	0.611000
6.548000	6.112000	0.950000
7.843000	5.992000	1.421000
7.685000	4.793000	0.764000
6.856000	2.958000	0.869000
5.987000	2.982000	0.664000
6.708000	3.119000	0.739000
7.776000	5.981000	1.126000
7.345000	5.942000	1.050000
7.550000	6.225000	1.178000
7.037000	3.728000	0.968000
6.124000	5.336000	0.760000
6.844000	5.254000	0.793000
7.245000	5.315000	0.858000
7.699000	3.655000	1.081000
7.009000	2.999000	1.386000
6.415000	6.631000	1.187000
6.522000	5.960000	0.733000
6.190000	6.053000	0.833000
6.081000	6.139000	0.991000
6.899000	6.031000	0.820000
6.175000	5.979000	0.860000
6.074000	6.030000	0.982000
6.145000	6.016000	0.848000
6.172000	6.114000	0.872000
6.184000	4.435000	0.689000
6.596000	2.728000	0.503000
7.340000	2.940000	1.124000
6.565000	5.967000	1.494000
6.572000	5.989000	0.926000
6.252000	5.962000	0.905000
6.146000	5.992004	0.822000
6.233000	5.972000	0.825000
6.788000	6.073000	0.809000
6.684000	6.089000	0.805000
7.363000	6.241000	1.430000
6.628000	6.091000	1.004000
6.449000	6.062000	0.827000
6.041000	6.006000	0.836000
6.592000	5.982000	1.009000
6.698000	6.018000	0.876000
7.318000	6.020000	0.848000
7.550000	6.029000	1.010000
6.285000	6.001000	0.893000
6.100000	6.031000	0.796000
6.091000	5.991000	0.926000
6.176000	6.076000	0.795000
6.239000	5.944000	0.762000
6.173000	5.939000	0.788000
6.248000	5.896000	0.733000
6.740000	6.031000	1.076000
6.246000	6.203000	0.980000
6.410000	3.472000	0.775000
6.045000	2.673000	0.506000
7.416000	3.446000	0.791000
5.990000	3.545000	0.466000
7.627000	2.847000	0.525000
6.491000	2.791000	0.763000
7.807000	6.183000	0.892000
8.477000	6.071000	1.116000
8.067000	3.539000	0.568000
7.241000	3.204000	1.251000
10.236000	3.033000	3.349000
5.972000	2.878000	0.672000
6.556000	5.903000	1.027000
6.484000	6.065000	0.930000
6.124000	6.014000	0.874000
7.533000	5.986000	0.848000
6.086000	6.035000	0.939000
6.073000	6.014000	0.934000
6.190000	5.935000	0.802000
6.017000	3.762000	0.457000
6.840000	2.901000	0.844000
5.950000	2.645000	0.700000
5.913000	2.650000	0.722000
5.972000	5.979000	0.872000
6.149000	6.008000	0.977000
6.068000	6.034000	1.018000
6.036000	5.992000	0.827000
6.492000	6.048000	1.020000
6.076000	5.987000	0.953000
6.400000	6.000000	0.735000
6.532000	6.126000	0.841000
7.180000	3.446000	0.606000
5.941000	2.937000	0.623000
6.447000	5.945000	0.961000
6.351000	6.023000	0.937000
6.088000	5.970000	0.806000
6.104000	5.948000	0.818000
6.233000	5.906000	0.886000
6.040000	6.038000	0.774000
6.039000	6.018000	0.818000
6.058000	6.010000	0.997000
6.074000	5.957000	0.782000
6.851000	6.068000	0.969000
6.454000	5.952000	1.037000
6.252000	5.950000	0.918000
6.092000	6.020000	0.935000
6.379000	6.036000	1.038000
6.046000	6.056000	0.806000
6.041000	6.012000	0.834000
6.700000	5.952000	0.819000
6.089000	5.958000	0.789000
6.066000	5.955000	0.812000
6.160000	5.976000	0.716000
6.147000	5.987000	0.705000
6.078000	5.844000	0.664000
6.012000	5.268000	0.801000
6.183000	6.069000	0.786000
6.247000	6.046000	0.811000
6.483000	2.811000	1.590000
7.040000	2.929000	0.919000
6.294000	6.657000	0.926000
6.179000	6.050000	0.710000
6.153000	5.948000	0.973000
7.484000	5.982000	0.974000
6.951000	6.010000	1.152000
7.009000	5.981000	1.160000
6.127000	6.127000	0.806000
6.178000	6.096000	0.718000
6.124000	3.998000	0.687000
6.088000	6.023000	0.876000
6.718000	5.976000	0.727000
7.276000	6.033000	0.899000
6.819000	3.922000	0.595000
7.406000	5.900000	1.128000
6.824000	5.993000	1.406000
7.058000	6.089000	1.427000
6.116000	6.159000	1.795000
6.105000	5.997000	0.905000
6.188000	5.985000	0.831000
6.182000	6.049000	0.892000
6.305000	5.917000	0.729000
6.290000	5.963000	0.888000
6.529000	6.032000	0.905000
6.117000	5.974000	0.858000
6.111000	5.997000	0.916000
6.230000	6.012000	0.843000
6.118000	5.971000	0.788000
6.286000	6.052000	1.645000
6.308000	6.041000	0.899000
6.578000	6.048000	0.868000
6.459000	6.031000	0.832000
6.541000	6.015000	0.995000
5.935000	6.022000	0.838000
6.124000	6.229000	0.869000
6.234000	5.947000	1.229000
6.026000	6.149000	1.341000
5.973000	6.457000	0.815000
6.293000	5.966000	0.967000
5.905000	6.060000	0.815000
5.940000	5.977000	0.894000
5.813000	5.959000	0.978000
5.776000	5.930000	0.806000
5.812000	6.332000	0.714000
5.861000	6.092000	0.792000
6.534000	6.470000	0.792000
6.632000	5.964000	1.074000
6.567000	5.952000	0.785000
6.706000	6.372000	0.880000
6.652000	3.511000	0.510000
6.317000	2.954000	0.671000
6.822000	2.879000	1.241000
5.721000	3.002000	0.524000
6.310000	2.907000	0.453000
6.636000	3.097000	1.087000
5.713000	3.024000	0.372000
5.948000	3.057000	0.581000
6.137000	3.214000	0.488000
5.981000	2.998000	2.161000
5.895000	2.932000	0.629000
5.806000	2.919000	0.569000
7.646000	5.915000	0.778000
6.757000	4.228000	1.005000
6.181000	3.054000	1.631000
6.298000	2.851000	0.459000
7.081000	3.278000	0.915000
6.950000	6.016000	1.043000
7.202000	6.431000	1.189000
6.089000	3.110000	2.140000
5.685000	2.884000	0.722000
6.226000	2.966000	0.583000
6.610000	4.163000	0.810000
7.062000	4.780000	0.979000
6.955000	3.860000	0.986000
6.035000	3.061000	0.719000
6.306000	5.837000	1.075000
6.210000	3.431000	0.872000
6.769000	3.122000	1.135000
6.243000	3.226000	0.652000
6.506000	2.964000	0.573000
7.016000	2.966000	0.947000
5.667000	3.212000	0.800000
6.449000	3.002000	0.589000
7.553000	5.931000	0.891000
6.515000	5.860000	0.826000
7.337000	2.974000	0.891000
5.728000	3.704000	0.590000
6.209000	2.733000	0.603000
6.991000	2.756000	1.219000
6.677000	2.949000	0.726000
5.811000	6.109000	0.816000
6.072000	6.078000	0.778000
5.849000	6.078000	0.817000
5.748000	6.032000	1.001000
5.950000	5.950000	0.866000
6.227000	6.057000	1.021000
5.977000	5.937000	0.831000
5.750000	3.018000	1.793000
6.277000	2.722000	0.488000
6.989000	4.159000	0.554000
6.407000	2.889000	0.720000
5.819000	2.923000	0.640000
5.773000	2.910000	0.504000
5.765000	2.973000	0.635000
5.620000	2.891000	0.661000
5.667000	2.934000	0.743000
5.991000	5.998000	0.840000
5.785000	5.991000	0.796000
5.858000	5.991000	0.784000
6.211000	5.774000	0.839000
5.816000	2.954000	0.475000
6.337000	2.655000	1.126000
6.117000	2.650000	0.563000
6.104000	2.904000	0.657000
5.744000	2.879000	0.646000
5.790000	3.050000	0.652000
5.836000	5.684000	0.942000
5.631000	2.888000	0.688000
5.925000	5.971000	0.970000
6.141000	2.776000	0.718000
5.930000	6.033000	1.111000
5.803000	6.047000	1.004000
5.828000	6.012000	0.825000
6.106000	6.067000	1.056000
5.838000	6.004000	1.029000
5.816000	6.016000	0.978000
6.387000	6.004000	0.717000
5.885000	6.013000	0.998000
5.836000	5.966000	0.883000
6.180000	6.059000	0.932000
6.260000	6.002000	0.849000
7.194000	6.214000	0.777000
5.852000	3.646000	0.816000
5.705000	3.106000	1.374000
5.740000	3.218000	0.939000
5.755000	2.892000	0.591000
6.677000	2.957000	1.022000
6.898000	3.046000	1.203000
5.791000	2.889000	0.659000
7.498000	3.127000	0.628000
7.357000	2.865000	0.595000
5.711000	2.886000	0.959000
6.100000	3.377000	0.710000
6.326000	2.947000	0.627000
7.508000	6.008000	1.085000
7.120000	6.090000	1.155000
6.405000	6.087000	1.482000
6.088000	6.027000	1.916000
6.098000	6.040000	0.965000
6.638000	5.982000	0.864000
6.103000	6.015000	0.808000
6.084000	6.015000	0.804000
7.092000	5.963000	1.043000
7.251000	6.038000	0.866000
7.622000	4.303000	0.728000
6.611000	3.022000	0.723000
6.295000	6.851000	1.111000
6.349000	6.081000	1.091000
6.605000	6.053000	0.932000
6.184000	4.895000	0.948000
7.358000	3.517000	0.576000
5.939000	5.343000	2.075000
6.132000	4.757000	0.801000
5.872000	4.158000	0.678000
7.822000	4.092000	0.662000
6.728000	2.931000	1.340000
6.015000	6.199000	1.875000
6.013000	6.013000	0.807000
6.174000	6.357000	0.814000
5.828000	6.051000	0.831000
5.960000	6.026000	0.877000
6.553000	6.233000	0.813000
6.185000	4.062000	0.872000
6.250000	2.820000	0.556000
5.768000	2.905000	0.629000
7.350000	3.245000	0.538000
6.617000	3.257000	0.541000
5.730000	2.779000	0.472000
5.762000	3.151000	0.447000
5.854000	2.865000	0.520000
7.144000	2.973000	0.830000
5.983000	3.457000	0.458000
6.005000	2.926000	0.617000
6.117000	5.988000	0.791000
5.873000	5.948000	1.004000
5.869000	5.983000	0.595000
5.971000	5.973000	0.852000
6.440000	6.089000	0.901000
5.937000	5.992000	0.900000
6.007000	5.945000	0.891000
5.797000	5.960000	0.918000
6.607000	6.007000	0.863000
5.791000	3.395000	0.714000
6.415000	2.923000	0.673000
7.181000	5.941000	0.809000
6.216000	5.939000	1.033000
5.891000	5.954000	0.908000
6.032000	6.363000	0.919000
6.385000	4.028000	0.688000
6.465000	3.101000	0.636000
5.744000	2.975000	0.611000
5.831000	6.030000	0.934000
6.250000	6.145000	0.849000
5.863000	6.056000	0.792000
5.774000	6.001000	0.830000
6.336000	6.013000	0.890000
5.892000	6.042000	0.833000
5.811000	6.000000	0.827000
6.182000	5.997000	1.012000
5.853000	6.025000	0.808000
5.808000	6.039000	0.989000
6.083000	6.027000	0.813000
5.991000	5.755000	0.814000
5.919000	6.023000	0.901000
6.100000	6.023000	0.860000
6.270000	6.045000	0.879000
5.863000	6.093000	0.930000
5.823000	5.978000	0.802000
7.003000	6.150000	1.029000
5.892000	6.032000	0.783000
5.898000	5.774000	0.848000
5.761000	2.950000	0.534000
5.831000	2.805000	0.636000
6.093000	6.015000	0.807000
5.804000	5.986000	1.030000
6.262000	5.949000	0.990000
6.227000	3.463000	0.695000
5.904000	6.051000	0.811000
6.186000	5.982000	0.946000
5.951000	5.972000	0.792000
6.513000	6.064000	0.905000
5.920000	6.069000	1.575000
5.883000	6.050000	0.930000
6.398000	6.205000	1.169000
6.309000	6.118000	0.969000
6.085000	6.019000	0.975000
5.724000	5.979000	0.972000
